Customer_ID,Age,Income,Loan_Amount,Credit_Score,Loan_Term,Default_Status
CUST1001,56,38210,702950,322,24,Yes
CUST1002,34,144610,99486,623,36,No
CUST1003,27,113781,788625,513,24,Yes
CUST1004,47,115192,90045,827,24,No
CUST1005,25,22725,83190,853,36,No
CUST1006,22,44685,439383,406,12,No
CUST1007,42,144151,798505,314,48,Yes
CUST1008,58,93334,59994,336,36,Yes
CUST1009,43,116761,142966,869,60,No
CUST1010,48,105635,674131,503,36,Yes
CUST1011,58,36449,267219,840,36,No
CUST1012,31,109558,710855,351,48,Yes
CUST1013,46,121125,572630,842,24,No
CUST1014,50,98294,665473,719,24,No
CUST1015,58,103142,488872,345,60,Yes
CUST1016,25,123579,640324,878,12,No
CUST1017,24,91039,640519,729,24,No
CUST1018,47,63960,608646,809,24,No
CUST1019,48,95835,226763,802,24,No
CUST1020,58,25786,667234,679,24,No
CUST1021,29,117038,543690,384,24,Yes
CUST1022,36,124146,705297,802,24,No
CUST1023,57,38842,571121,607,48,Yes
CUST1024,55,89042,268383,718,12,Yes
CUST1025,50,79316,739073,746,48,No
CUST1026,45,73031,200401,523,36,No
CUST1027,21,64939,644748,845,60,No
CUST1028,38,25835,617561,759,12,No
CUST1029,50,29330,125281,400,36,Yes
CUST1030,48,88591,514109,777,48,Yes
CUST1031,59,34085,580528,519,36,Yes
CUST1032,56,88488,549316,878,60,Yes
CUST1033,59,80477,464761,467,24,Yes
CUST1034,46,105028,592974,581,36,Yes
CUST1035,27,65438,66866,578,24,Yes
CUST1036,21,112537,375175,895,36,Yes
CUST1037,45,104451,113468,743,48,No
CUST1038,34,71518,510823,458,60,Yes
CUST1039,33,137463,127065,715,36,No
CUST1040,32,23187,703347,387,48,No
CUST1041,36,89370,748373,349,60,Yes
CUST1042,45,54825,682485,508,48,Yes
CUST1043,52,56923,332384,426,24,Yes
CUST1044,59,38766,59861,855,24,No
CUST1045,36,129143,786378,532,60,Yes
CUST1046,60,99125,225559,607,48,No
CUST1047,59,98596,496641,876,48,No
CUST1048,51,69571,786509,628,24,No
CUST1049,28,35421,112974,507,60,Yes
CUST1050,31,122829,627278,585,48,Yes
CUST1051,26,107305,287308,787,48,No
CUST1052,59,122353,616414,675,60,Yes
CUST1053,35,40829,366717,325,36,No
CUST1054,56,140874,157276,886,36,No
CUST1055,27,70562,171773,412,48,Yes
CUST1056,44,60462,406443,816,12,No
CUST1057,55,38422,303984,337,48,Yes
CUST1058,24,65710,317007,469,60,No
CUST1059,36,149405,80629,588,24,Yes
CUST1060,22,50037,349128,753,24,No
CUST1061,48,145277,470161,856,60,No
